measurement,interval-time,id,distance
breakout,1.422,1,5
cycle,1.039,1,
cycle,1.575,1,
cycle,1.649,1,
cycle,1.721,1,
cycle,1.767,1,
cycle,1.494,1,
cycle,1.78,1,
cycle,1.724,1,
cycle,1.799,1,
breakout,1.601,2,5
cycle,0.995,2,
cycle,1.596,2,
cycle,1.659,2,
cycle,1.848,2,
cycle,1.69,2,
cycle,1.565,2,
cycle,1.783,2,
cycle,1.624,2,
cycle,1.888,2,
cycle,1.91,2,
breakout,1.5,3,5
cycle,0.769,3,
cycle,1.621,3,
cycle,1.628,3,
cycle,1.741,3,
cycle,1.771,3,
cycle,1.677,3,
cycle,1.685,3,
cycle,1.738,3,
cycle,2,3,
cycle,1.119,3,
breakout,1.383,4,5
cycle,1.274,4,
cycle,1.57,4,
cycle,1.583,4,
cycle,1.906,4,
cycle,1.799,4,
cycle,1.927,4,
cycle,1.577,4,
cycle,2.08,4,
cycle,1.867,4,
cycle,1.149,4,
