Type,Time
breakout,4.36
cycle,2.677
cycle,1.357
cycle,1.351
cycle,1.505
cycle,1.519
breakout,5.451
cycle,2.202
cycle,1.459
cycle,1.596
cycle,1.696
cycle,1.522
cycle,1.424
cycle,1.77
cycle,1.692
breakout,4.307
cycle,1.335
cycle,1.467
cycle,1.635
cycle,1.485
cycle,1.518
cycle,1.706
cycle,1.626
cycle,1.603
breakout,5.202
cycle,2.145
cycle,1.842
cycle,1.616
cycle,1.913
cycle,1.408
cycle,1.452
cycle,1.906
cycle,1.717
breakout,4.058
cycle,2.056
cycle,1.411
cycle,1.63
cycle,1.572
cycle,1.655
cycle,1.588
cycle,1.696
cycle,1.536
breakout,5.256
cycle,1.557
cycle,1.469
cycle,1.888
cycle,1.352
cycle,1.629
cycle,1.68
cycle,1.698
cycle,1.786
cycle,1.679
breakout,3.716
cycle,1.558
cycle,1.297
cycle,1.441
cycle,1.757
cycle,1.667
cycle,1.679
cycle,1.481
cycle,1.954
cycle,1.47
breakout,3.808
cycle,1.695
cycle,1.394
cycle,1.345
cycle,1.748
cycle,1.636
cycle,1.73
cycle,1.61
cycle,1.606
cycle,1.691
breakout,4.386
cycle,0.826
cycle,0.788
cycle,1.237
cycle,1.462
cycle,1.687
cycle,1.502
cycle,1.515
cycle,1.67
cycle,1.802
cycle,1.629
breakout,4.039
cycle,1.143
cycle,1.009
cycle,1.515
cycle,1.581
cycle,1.392
cycle,1.617
cycle,1.816
cycle,1.538
cycle,1.677
cycle,2.322
breakout,3.356
cycle,1.825
cycle,0.945
cycle,1.38
cycle,1.364
cycle,1.497
cycle,0.63
cycle,1.363
cycle,1.476
cycle,1.47
cycle,1.503
breakout,5.18
cycle,2.622
cycle,1.802
cycle,1.411
cycle,1.63
cycle,1.805
cycle,1.296
cycle,1.549
cycle,1.634
cycle,1.565
breakout,3.798
cycle,1.373
cycle,1.311
cycle,1.458
cycle,1.692
cycle,1.503
cycle,1.454
cycle,1.515
cycle,2.005
cycle,1.453
breakout,4.472
cycle,1.368
cycle,1.333
cycle,1.569
cycle,1.647
cycle,1.497
cycle,1.511
cycle,1.626
cycle,1.675
cycle,1.403
cycle,1.642
breakout,3.104
cycle,1.81
cycle,0.791
cycle,1.344
cycle,1.509
cycle,1.496
cycle,1.524
cycle,1.613
cycle,1.552
cycle,1.554
cycle,1.575
breakout,3.887
cycle,1.586
cycle,1.358
cycle,1.454
cycle,1.219
cycle,1.495
cycle,1.273
cycle,1.513
cycle,1.518
cycle,1.326
cycle,1.408
